Polo;Data;Total_Servicos_Disponiveis;Servicos_Roteirizados;Servicos_Nao_Roteirizados;Aproveitamento_%;Valor_Total_Roteirizado_R$
NITERÓI - LEVE;2025-08-19;672;231;441;34.38;0
NITERÓI - CESTO;2025-08-19;122;65;57;53.28;0
