Polo;Faixa_Distancia;K_Sugerido;Qtd_Amostras
CANTAGALO;19500-20000 m;1.39;3
CANTAGALO;20000-20500 m;1.49;5
CANTAGALO;20500-21000 m;1.96;5
CANTAGALO;21000-21500 m;2.02;9
CANTAGALO;21500-22000 m;1.75;4
CANTAGALO;22000-22500 m;1.33;2
CANTAGALO;22500-23000 m;1.99;3
CANTAGALO;23000-23500 m;2.07;6
CANTAGALO;23500-24000 m;2.03;2
CANTAGALO;24000-24500 m;1.6;3
CANTAGALO;24500-25000 m;1.88;1
CANTAGALO;25000-25500 m;2.22;1
CANTAGALO;25500-26000 m;1.85;4
CANTAGALO;26000-26500 m;1.95;4
CANTAGALO;26500-27000 m;1.47;1
CANTAGALO;27000-27500 m;;0
CANTAGALO;27500-28000 m;2.08;1
CANTAGALO;28000-28500 m;;0
CANTAGALO;28500-29000 m;0.18;1
CANTAGALO;29000-29500 m;;0
CANTAGALO;29500-30000 m;;0
CANTAGALO;30000-30500 m;1.61;1
CANTAGALO;30500-31000 m;1.47;3
CANTAGALO;31000-31500 m;;0
CANTAGALO;31500-32000 m;;0
CANTAGALO;32000-32500 m;1.32;1
CANTAGALO;32500-33000 m;;0
CANTAGALO;33000-33500 m;;0
CANTAGALO;33500-34000 m;1.68;1
CANTAGALO;34000-34500 m;1.75;1
CANTAGALO;34500-35000 m;;0
CANTAGALO;35000-35500 m;1.72;2
CANTAGALO;35500-36000 m;;0
CANTAGALO;36000-36500 m;1.65;2
CANTAGALO;36500-37000 m;;0
CANTAGALO;37000-37500 m;;0
CANTAGALO;37500-38000 m;;0
CANTAGALO;38000-38500 m;;0
CANTAGALO;38500-39000 m;;0
CANTAGALO;39000-39500 m;;0
CANTAGALO;39500-40000 m;2.02;1
CANTAGALO;40000-40500 m;;0
CANTAGALO;40500-41000 m;1.81;1
CANTAGALO;41000-41500 m;1.92;1
CANTAGALO;41500-42000 m;;0
CANTAGALO;42000-42500 m;;0
CANTAGALO;42500-43000 m;;0
CANTAGALO;43000-43500 m;1.76;1
CANTAGALO;43500-44000 m;;0
CANTAGALO;44000-44500 m;;0
CANTAGALO;44500-45000 m;;0
CANTAGALO;45000-45500 m;;0
CANTAGALO;45500-46000 m;;0
CANTAGALO;46000-46500 m;;0
CANTAGALO;46500-47000 m;;0
CANTAGALO;47000-47500 m;;0
CANTAGALO;47500-48000 m;;0
CANTAGALO;48000-48500 m;;0
CANTAGALO;48500-49000 m;;0
CANTAGALO;49000-49500 m;;0
CANTAGALO;49500-50000 m;;0
CANTAGALO;50000-50500 m;;0
CANTAGALO;50500-51000 m;;0
CANTAGALO;51000-51500 m;;0
CANTAGALO;51500-52000 m;;0
CANTAGALO;52000-52500 m;;0
CANTAGALO;52500-53000 m;;0
CANTAGALO;53000-53500 m;0.24;1
CANTAGALO;53500-54000 m;;0
CANTAGALO;54000-54500 m;;0
CANTAGALO;54500-55000 m;;0
CANTAGALO;55000-55500 m;;0
CANTAGALO;55500-56000 m;;0
CANTAGALO;56000-56500 m;;0
CANTAGALO;56500-57000 m;;0
CANTAGALO;57000-57500 m;;0
CANTAGALO;57500-58000 m;;0
CANTAGALO;58000-58500 m;;0
CANTAGALO;58500-59000 m;;0
CANTAGALO;59000-59500 m;;0
CANTAGALO;59500-60000 m;;0
CANTAGALO;60000-60500 m;;0
CANTAGALO;60500-61000 m;;0
CANTAGALO;61000-61500 m;;0
CANTAGALO;61500-62000 m;;0
CANTAGALO;62000-62500 m;;0
CANTAGALO;62500-63000 m;;0
CANTAGALO;63000-63500 m;;0
CANTAGALO;63500-64000 m;;0
CANTAGALO;64000-64500 m;;0
CANTAGALO;64500-65000 m;;0
CANTAGALO;65000-65500 m;;0
CANTAGALO;65500-66000 m;;0
CANTAGALO;66000-66500 m;;0
CANTAGALO;66500-67000 m;;0
CANTAGALO;67000-67500 m;;0
CANTAGALO;67500-68000 m;;0
CANTAGALO;68000-68500 m;;0
CANTAGALO;68500-69000 m;;0
CANTAGALO;69000-69500 m;;0
CANTAGALO;69500-70000 m;;0
CANTAGALO;70000-70500 m;;0
CANTAGALO;70500-71000 m;;0
CANTAGALO;71000-71500 m;;0
CANTAGALO;71500-72000 m;;0
CANTAGALO;72000-72500 m;;0
CANTAGALO;72500-73000 m;;0
CANTAGALO;73000-73500 m;;0
CANTAGALO;73500-74000 m;;0
CANTAGALO;74000-74500 m;;0
CANTAGALO;74500-75000 m;;0
CANTAGALO;75000-75500 m;;0
CANTAGALO;75500-76000 m;;0
CANTAGALO;76000-76500 m;;0
CANTAGALO;76500-77000 m;;0
CANTAGALO;77000-77500 m;;0
CANTAGALO;77500-78000 m;;0
CANTAGALO;78000-78500 m;;0
CANTAGALO;78500-79000 m;;0
CANTAGALO;79000-79500 m;;0
CANTAGALO;79500-80000 m;;0
CANTAGALO;80000-80500 m;;0
CANTAGALO;80500-81000 m;;0
CANTAGALO;81000-81500 m;;0
CANTAGALO;81500-82000 m;;0
CANTAGALO;82000-82500 m;;0
CANTAGALO;82500-83000 m;;0
CANTAGALO;83000-83500 m;;0
CANTAGALO;83500-84000 m;;0
CANTAGALO;84000-84500 m;;0
CANTAGALO;84500-85000 m;;0
CANTAGALO;85000-85500 m;;0
CANTAGALO;85500-86000 m;;0
CANTAGALO;86000-86500 m;;0
CANTAGALO;86500-87000 m;;0
CANTAGALO;87000-87500 m;;0
CANTAGALO;87500-88000 m;;0
CANTAGALO;88000-88500 m;;0
CANTAGALO;88500-89000 m;;0
CANTAGALO;89000-89500 m;;0
CANTAGALO;89500-90000 m;;0
CANTAGALO;90000-90500 m;;0
CANTAGALO;90500-91000 m;;0
CANTAGALO;91000-91500 m;;0
CANTAGALO;91500-92000 m;;0
CANTAGALO;92000-92500 m;;0
CANTAGALO;92500-93000 m;;0
CANTAGALO;93000-93500 m;;0
CANTAGALO;93500-94000 m;;0
CANTAGALO;94000-94500 m;;0
CANTAGALO;94500-95000 m;;0
CANTAGALO;95000-95500 m;;0
CANTAGALO;95500-96000 m;;0
CANTAGALO;96000-96500 m;;0
CANTAGALO;96500-97000 m;;0
CANTAGALO;97000-97500 m;;0
CANTAGALO;97500-98000 m;;0
CANTAGALO;98000-98500 m;;0
CANTAGALO;98500-99000 m;;0
CANTAGALO;99000-99500 m;;0
CANTAGALO;99500-100000 m;;0
CANTAGALO;100000-100500 m;;0
CANTAGALO;100500-101000 m;;0
CANTAGALO;101000-101500 m;;0
CANTAGALO;101500-102000 m;;0
CANTAGALO;102000-102500 m;;0
CANTAGALO;102500-103000 m;;0
CANTAGALO;103000-103500 m;;0
CANTAGALO;103500-104000 m;;0
CANTAGALO;104000-104500 m;;0
CANTAGALO;104500-105000 m;;0
CANTAGALO;105000-105500 m;;0
CANTAGALO;105500-106000 m;;0
CANTAGALO;106000-106500 m;;0
CANTAGALO;106500-107000 m;;0
CANTAGALO;107000-107500 m;;0
CANTAGALO;107500-108000 m;;0
CANTAGALO;108000-108500 m;;0
CANTAGALO;108500-109000 m;;0
CANTAGALO;109000-109500 m;;0
CANTAGALO;109500-110000 m;;0
CANTAGALO;110000-110500 m;;0
CANTAGALO;110500-111000 m;;0
CANTAGALO;111000-111500 m;;0
CANTAGALO;111500-112000 m;;0
CANTAGALO;112000-112500 m;;0
CANTAGALO;112500-113000 m;;0
CANTAGALO;113000-113500 m;;0
CANTAGALO;113500-114000 m;;0
CANTAGALO;114000-114500 m;;0
CANTAGALO;114500-115000 m;;0
CANTAGALO;115000-115500 m;;0
CANTAGALO;115500-116000 m;;0
CANTAGALO;116000-116500 m;;0
CANTAGALO;116500-117000 m;;0
CANTAGALO;117000-117500 m;;0
CANTAGALO;117500-118000 m;;0
CANTAGALO;118000-118500 m;;0
CANTAGALO;118500-119000 m;;0
CANTAGALO;119000-119500 m;;0
CANTAGALO;119500-120000 m;;0
CANTAGALO;120000-120500 m;;0
CANTAGALO;120500-121000 m;;0
CANTAGALO;121000-121500 m;;0
CANTAGALO;121500-122000 m;;0
CANTAGALO;122000-122500 m;;0
CANTAGALO;122500-123000 m;;0
CANTAGALO;123000-123500 m;;0
CANTAGALO;123500-124000 m;;0
CANTAGALO;124000-124500 m;;0
CANTAGALO;124500-125000 m;;0
CANTAGALO;125000-125500 m;;0
CANTAGALO;125500-126000 m;;0
CANTAGALO;126000-126500 m;;0
CANTAGALO;126500-127000 m;;0
CANTAGALO;127000-127500 m;;0
CANTAGALO;127500-128000 m;;0
CANTAGALO;128000-128500 m;;0
CANTAGALO;128500-129000 m;;0
CANTAGALO;129000-129500 m;;0
CANTAGALO;129500-130000 m;;0
CANTAGALO;130000-130500 m;;0
CANTAGALO;130500-131000 m;;0
CANTAGALO;131000-131500 m;;0
CANTAGALO;131500-132000 m;;0
CANTAGALO;132000-132500 m;;0
CANTAGALO;132500-133000 m;;0
CANTAGALO;133000-133500 m;;0
CANTAGALO;133500-134000 m;;0
CANTAGALO;134000-134500 m;;0
CANTAGALO;134500-135000 m;;0
CANTAGALO;135000-135500 m;;0
CANTAGALO;135500-136000 m;;0
CANTAGALO;136000-136500 m;;0
CANTAGALO;136500-137000 m;;0
CANTAGALO;137000-137500 m;;0
CANTAGALO;137500-138000 m;;0
CANTAGALO;138000-138500 m;;0
CANTAGALO;138500-139000 m;;0
CANTAGALO;139000-139500 m;;0
CANTAGALO;139500-140000 m;;0
CANTAGALO;140000-140500 m;;0
CANTAGALO;140500-141000 m;;0
CANTAGALO;141000-141500 m;;0
CANTAGALO;141500-142000 m;;0
CANTAGALO;142000-142500 m;;0
CANTAGALO;142500-143000 m;;0
CANTAGALO;143000-143500 m;;0
CANTAGALO;143500-144000 m;;0
CANTAGALO;144000-144500 m;;0
CANTAGALO;144500-145000 m;;0
CANTAGALO;145000-145500 m;;0
CANTAGALO;145500-146000 m;;0
CANTAGALO;146000-146500 m;;0
CANTAGALO;146500-147000 m;;0
CANTAGALO;147000-147500 m;;0
CANTAGALO;147500-148000 m;;0
CANTAGALO;148000-148500 m;;0
CANTAGALO;148500-149000 m;;0
CANTAGALO;149000-149500 m;;0
CANTAGALO;149500-150000 m;;0
CANTAGALO;150000-150500 m;;0
CANTAGALO;150500-151000 m;;0
CANTAGALO;151000-151500 m;;0
CANTAGALO;151500-152000 m;;0
CANTAGALO;152000-152500 m;;0
CANTAGALO;152500-153000 m;;0
CANTAGALO;153000-153500 m;;0
CANTAGALO;153500-154000 m;;0
CANTAGALO;154000-154500 m;;0
CANTAGALO;154500-155000 m;;0
CANTAGALO;155000-155500 m;;0
CANTAGALO;155500-156000 m;;0
CANTAGALO;156000-156500 m;;0
CANTAGALO;156500-157000 m;;0
CANTAGALO;157000-157500 m;;0
CANTAGALO;157500-158000 m;;0
CANTAGALO;158000-158500 m;;0
CANTAGALO;158500-159000 m;;0
CANTAGALO;159000-159500 m;;0
CANTAGALO;159500-160000 m;;0
CANTAGALO;160000-160500 m;;0
CANTAGALO;160500-161000 m;;0
CANTAGALO;161000-161500 m;;0
CANTAGALO;161500-162000 m;;0
CANTAGALO;162000-162500 m;;0
CANTAGALO;162500-163000 m;;0
CANTAGALO;163000-163500 m;;0
CANTAGALO;163500-164000 m;;0
CANTAGALO;164000-164500 m;;0
CANTAGALO;164500-165000 m;;0
CANTAGALO;165000-165500 m;;0
CANTAGALO;165500-166000 m;;0
CANTAGALO;166000-166500 m;;0
CANTAGALO;166500-167000 m;;0
CANTAGALO;167000-167500 m;;0
CANTAGALO;167500-168000 m;;0
CANTAGALO;168000-168500 m;;0
CANTAGALO;168500-169000 m;;0
CANTAGALO;169000-169500 m;;0
CANTAGALO;169500-170000 m;;0
CANTAGALO;170000-170500 m;;0
CANTAGALO;170500-171000 m;;0
CANTAGALO;171000-171500 m;;0
CANTAGALO;171500-172000 m;;0
CANTAGALO;172000-172500 m;;0
CANTAGALO;172500-173000 m;;0
CANTAGALO;173000-173500 m;;0
CANTAGALO;173500-174000 m;;0
CANTAGALO;174000-174500 m;;0
CANTAGALO;174500-175000 m;;0
CANTAGALO;175000-175500 m;;0
CANTAGALO;175500-176000 m;;0
CANTAGALO;176000-176500 m;;0
CANTAGALO;176500-177000 m;;0
CANTAGALO;177000-177500 m;;0
CANTAGALO;177500-178000 m;;0
CANTAGALO;178000-178500 m;;0
CANTAGALO;178500-179000 m;;0
CANTAGALO;179000-179500 m;;0
CANTAGALO;179500-180000 m;;0
CANTAGALO;180000-180500 m;;0
CANTAGALO;180500-181000 m;;0
CANTAGALO;181000-181500 m;;0
CANTAGALO;181500-182000 m;;0
CANTAGALO;182000-182500 m;;0
CANTAGALO;182500-183000 m;;0
CANTAGALO;183000-183500 m;;0
CANTAGALO;183500-184000 m;;0
CANTAGALO;184000-184500 m;;0
CANTAGALO;184500-185000 m;;0
CANTAGALO;185000-185500 m;;0
CANTAGALO;185500-186000 m;;0
CANTAGALO;186000-186500 m;;0
CANTAGALO;186500-187000 m;;0
CANTAGALO;187000-187500 m;;0
CANTAGALO;187500-188000 m;;0
CANTAGALO;188000-188500 m;;0
CANTAGALO;188500-189000 m;;0
CANTAGALO;189000-189500 m;;0
CANTAGALO;189500-190000 m;;0
CANTAGALO;190000-190500 m;;0
CANTAGALO;190500-191000 m;;0
CANTAGALO;191000-191500 m;;0
CANTAGALO;191500-192000 m;;0
CANTAGALO;192000-192500 m;;0
CANTAGALO;192500-193000 m;;0
CANTAGALO;193000-193500 m;;0
CANTAGALO;193500-194000 m;;0
CANTAGALO;194000-194500 m;;0
CANTAGALO;194500-195000 m;;0
CANTAGALO;195000-195500 m;;0
CANTAGALO;195500-196000 m;;0
CANTAGALO;196000-196500 m;;0
CANTAGALO;196500-197000 m;;0
CANTAGALO;197000-197500 m;;0
CANTAGALO;197500-198000 m;;0
CANTAGALO;198000-198500 m;;0
CANTAGALO;198500-199000 m;;0
CANTAGALO;199000-199500 m;;0
CANTAGALO;199500-200000 m;;0
CANTAGALO;200000-200500 m;;0
CANTAGALO;200500-201000 m;;0
CANTAGALO;201000-201500 m;;0
CANTAGALO;201500-202000 m;;0
CANTAGALO;202000-202500 m;;0
CANTAGALO;202500-203000 m;;0
CANTAGALO;203000-203500 m;;0
CANTAGALO;203500-204000 m;;0
CANTAGALO;204000-204500 m;;0
CANTAGALO;204500-205000 m;;0
CANTAGALO;205000-205500 m;;0
CANTAGALO;205500-206000 m;;0
CANTAGALO;206000-206500 m;;0
CANTAGALO;206500-207000 m;;0
CANTAGALO;207000-207500 m;;0
CANTAGALO;207500-208000 m;;0
CANTAGALO;208000-208500 m;;0
CANTAGALO;208500-209000 m;;0
CANTAGALO;209000-209500 m;;0
CANTAGALO;209500-210000 m;;0
CANTAGALO;210000-210500 m;;0
CANTAGALO;210500-211000 m;;0
CANTAGALO;211000-211500 m;;0
CANTAGALO;211500-212000 m;;0
CANTAGALO;212000-212500 m;;0
CANTAGALO;212500-213000 m;;0
CANTAGALO;213000-213500 m;;0
CANTAGALO;213500-214000 m;;0
CANTAGALO;214000-214500 m;;0
CANTAGALO;214500-215000 m;;0
CANTAGALO;215000-215500 m;;0
CANTAGALO;215500-216000 m;;0
CANTAGALO;216000-216500 m;;0
CANTAGALO;216500-217000 m;;0
CANTAGALO;217000-217500 m;;0
CANTAGALO;217500-218000 m;;0
CANTAGALO;218000-218500 m;;0
CANTAGALO;218500-219000 m;;0
CANTAGALO;219000-219500 m;;0
CANTAGALO;219500-220000 m;;0
CANTAGALO;220000-220500 m;;0
CANTAGALO;220500-221000 m;;0
CANTAGALO;221000-221500 m;;0
CANTAGALO;221500-222000 m;;0
CANTAGALO;222000-222500 m;;0
CANTAGALO;222500-223000 m;;0
CANTAGALO;223000-223500 m;;0
CANTAGALO;223500-224000 m;;0
CANTAGALO;224000-224500 m;;0
CANTAGALO;224500-225000 m;;0
CANTAGALO;225000-225500 m;;0
CANTAGALO;225500-226000 m;;0
CANTAGALO;226000-226500 m;;0
CANTAGALO;226500-227000 m;;0
CANTAGALO;227000-227500 m;;0
CANTAGALO;227500-228000 m;;0
CANTAGALO;228000-228500 m;;0
CANTAGALO;228500-229000 m;;0
CANTAGALO;229000-229500 m;;0
CANTAGALO;229500-230000 m;;0
CANTAGALO;230000-230500 m;;0
CANTAGALO;230500-231000 m;;0
CANTAGALO;231000-231500 m;;0
CANTAGALO;231500-232000 m;;0
CANTAGALO;232000-232500 m;;0
CANTAGALO;232500-233000 m;;0
CANTAGALO;233000-233500 m;;0
CANTAGALO;233500-234000 m;;0
CANTAGALO;234000-234500 m;;0
CANTAGALO;234500-235000 m;;0
CANTAGALO;235000-235500 m;;0
CANTAGALO;235500-236000 m;;0
CANTAGALO;236000-236500 m;;0
CANTAGALO;236500-237000 m;;0
DUQUE DE CAXIAS;0-500 m;67.08;865
DUQUE DE CAXIAS;500-1000 m;1.77;99
DUQUE DE CAXIAS;1000-1500 m;1.62;33
DUQUE DE CAXIAS;1500-2000 m;1.97;14
DUQUE DE CAXIAS;2000-2500 m;1.51;10
DUQUE DE CAXIAS;2500-3000 m;2.17;7
DUQUE DE CAXIAS;3000-3500 m;1.68;4
DUQUE DE CAXIAS;3500-4000 m;1.24;4
DUQUE DE CAXIAS;4000-4500 m;1.64;1
DUQUE DE CAXIAS;4500-5000 m;1.66;3
DUQUE DE CAXIAS;5000-5500 m;1.11;3
DUQUE DE CAXIAS;5500-6000 m;;0
DUQUE DE CAXIAS;6000-6500 m;1.28;2
DUQUE DE CAXIAS;6500-7000 m;;0
DUQUE DE CAXIAS;7000-7500 m;1.22;1
DUQUE DE CAXIAS;7500-8000 m;1.39;1
DUQUE DE CAXIAS;8000-8500 m;1.74;2
DUQUE DE CAXIAS;8500-9000 m;;0
DUQUE DE CAXIAS;9000-9500 m;;0
DUQUE DE CAXIAS;9500-10000 m;;0
DUQUE DE CAXIAS;10000-10500 m;;0
DUQUE DE CAXIAS;10500-11000 m;;0
DUQUE DE CAXIAS;11000-11500 m;2.71;1
DUQUE DE CAXIAS;11500-12000 m;;0
DUQUE DE CAXIAS;12000-12500 m;;0
DUQUE DE CAXIAS;12500-13000 m;;0
DUQUE DE CAXIAS;13000-13500 m;;0
DUQUE DE CAXIAS;13500-14000 m;0.0;1
DUQUE DE CAXIAS;14000-14500 m;;0
DUQUE DE CAXIAS;14500-15000 m;;0
DUQUE DE CAXIAS;15000-15500 m;;0
DUQUE DE CAXIAS;15500-16000 m;;0
DUQUE DE CAXIAS;16000-16500 m;;0
DUQUE DE CAXIAS;16500-17000 m;;0
DUQUE DE CAXIAS;17000-17500 m;;0
DUQUE DE CAXIAS;17500-18000 m;;0
DUQUE DE CAXIAS;18000-18500 m;;0
DUQUE DE CAXIAS;18500-19000 m;;0
DUQUE DE CAXIAS;19000-19500 m;;0
DUQUE DE CAXIAS;19500-20000 m;;0
DUQUE DE CAXIAS;20000-20500 m;;0
DUQUE DE CAXIAS;20500-21000 m;;0
DUQUE DE CAXIAS;21000-21500 m;;0
DUQUE DE CAXIAS;21500-22000 m;;0
DUQUE DE CAXIAS;22000-22500 m;;0
DUQUE DE CAXIAS;22500-23000 m;;0
DUQUE DE CAXIAS;23000-23500 m;;0
DUQUE DE CAXIAS;23500-24000 m;;0
DUQUE DE CAXIAS;24000-24500 m;;0
DUQUE DE CAXIAS;24500-25000 m;;0
DUQUE DE CAXIAS;25000-25500 m;;0
DUQUE DE CAXIAS;25500-26000 m;;0
DUQUE DE CAXIAS;26000-26500 m;;0
DUQUE DE CAXIAS;26500-27000 m;;0
DUQUE DE CAXIAS;27000-27500 m;;0
DUQUE DE CAXIAS;27500-28000 m;;0
DUQUE DE CAXIAS;28000-28500 m;;0
DUQUE DE CAXIAS;28500-29000 m;;0
DUQUE DE CAXIAS;29000-29500 m;;0
DUQUE DE CAXIAS;29500-30000 m;;0
DUQUE DE CAXIAS;30000-30500 m;;0
DUQUE DE CAXIAS;30500-31000 m;;0
DUQUE DE CAXIAS;31000-31500 m;;0
DUQUE DE CAXIAS;31500-32000 m;;0
DUQUE DE CAXIAS;32000-32500 m;;0
DUQUE DE CAXIAS;32500-33000 m;;0
DUQUE DE CAXIAS;33000-33500 m;;0
DUQUE DE CAXIAS;33500-34000 m;;0
DUQUE DE CAXIAS;34000-34500 m;;0
DUQUE DE CAXIAS;34500-35000 m;;0
DUQUE DE CAXIAS;35000-35500 m;;0
DUQUE DE CAXIAS;35500-36000 m;;0
DUQUE DE CAXIAS;36000-36500 m;;0
DUQUE DE CAXIAS;36500-37000 m;;0
DUQUE DE CAXIAS;37000-37500 m;;0
DUQUE DE CAXIAS;37500-38000 m;;0
DUQUE DE CAXIAS;38000-38500 m;;0
DUQUE DE CAXIAS;38500-39000 m;;0
DUQUE DE CAXIAS;39000-39500 m;;0
DUQUE DE CAXIAS;39500-40000 m;;0
DUQUE DE CAXIAS;40000-40500 m;;0
DUQUE DE CAXIAS;40500-41000 m;;0
DUQUE DE CAXIAS;41000-41500 m;;0
DUQUE DE CAXIAS;41500-42000 m;;0
DUQUE DE CAXIAS;42000-42500 m;;0
DUQUE DE CAXIAS;42500-43000 m;;0
DUQUE DE CAXIAS;43000-43500 m;;0
DUQUE DE CAXIAS;43500-44000 m;;0
DUQUE DE CAXIAS;44000-44500 m;;0
DUQUE DE CAXIAS;44500-45000 m;;0
DUQUE DE CAXIAS;45000-45500 m;;0
DUQUE DE CAXIAS;45500-46000 m;;0
DUQUE DE CAXIAS;46000-46500 m;;0
DUQUE DE CAXIAS;46500-47000 m;;0
DUQUE DE CAXIAS;47000-47500 m;;0
DUQUE DE CAXIAS;47500-48000 m;;0
DUQUE DE CAXIAS;48000-48500 m;;0
DUQUE DE CAXIAS;48500-49000 m;;0
DUQUE DE CAXIAS;49000-49500 m;;0
DUQUE DE CAXIAS;49500-50000 m;;0
DUQUE DE CAXIAS;50000-50500 m;;0
DUQUE DE CAXIAS;50500-51000 m;;0
DUQUE DE CAXIAS;51000-51500 m;;0
DUQUE DE CAXIAS;51500-52000 m;;0
DUQUE DE CAXIAS;52000-52500 m;;0
DUQUE DE CAXIAS;52500-53000 m;;0
DUQUE DE CAXIAS;53000-53500 m;;0
DUQUE DE CAXIAS;53500-54000 m;;0
DUQUE DE CAXIAS;54000-54500 m;;0
DUQUE DE CAXIAS;54500-55000 m;;0
DUQUE DE CAXIAS;55000-55500 m;;0
DUQUE DE CAXIAS;55500-56000 m;;0
DUQUE DE CAXIAS;56000-56500 m;;0
DUQUE DE CAXIAS;56500-57000 m;;0
DUQUE DE CAXIAS;57000-57500 m;;0
DUQUE DE CAXIAS;57500-58000 m;;0
DUQUE DE CAXIAS;58000-58500 m;;0
DUQUE DE CAXIAS;58500-59000 m;;0
DUQUE DE CAXIAS;59000-59500 m;;0
DUQUE DE CAXIAS;59500-60000 m;;0
DUQUE DE CAXIAS;60000-60500 m;;0
DUQUE DE CAXIAS;60500-61000 m;;0
DUQUE DE CAXIAS;61000-61500 m;;0
DUQUE DE CAXIAS;61500-62000 m;;0
DUQUE DE CAXIAS;62000-62500 m;;0
DUQUE DE CAXIAS;62500-63000 m;;0
DUQUE DE CAXIAS;63000-63500 m;;0
DUQUE DE CAXIAS;63500-64000 m;;0
DUQUE DE CAXIAS;64000-64500 m;;0
DUQUE DE CAXIAS;64500-65000 m;;0
DUQUE DE CAXIAS;65000-65500 m;;0
DUQUE DE CAXIAS;65500-66000 m;;0
DUQUE DE CAXIAS;66000-66500 m;;0
DUQUE DE CAXIAS;66500-67000 m;;0
DUQUE DE CAXIAS;67000-67500 m;;0
DUQUE DE CAXIAS;67500-68000 m;;0
DUQUE DE CAXIAS;68000-68500 m;;0
DUQUE DE CAXIAS;68500-69000 m;;0
DUQUE DE CAXIAS;69000-69500 m;;0
DUQUE DE CAXIAS;69500-70000 m;;0
DUQUE DE CAXIAS;70000-70500 m;;0
DUQUE DE CAXIAS;70500-71000 m;;0
DUQUE DE CAXIAS;71000-71500 m;;0
DUQUE DE CAXIAS;71500-72000 m;;0
DUQUE DE CAXIAS;72000-72500 m;;0
DUQUE DE CAXIAS;72500-73000 m;;0
DUQUE DE CAXIAS;73000-73500 m;;0
DUQUE DE CAXIAS;73500-74000 m;;0
DUQUE DE CAXIAS;74000-74500 m;;0
DUQUE DE CAXIAS;74500-75000 m;;0
DUQUE DE CAXIAS;75000-75500 m;;0
DUQUE DE CAXIAS;75500-76000 m;;0
DUQUE DE CAXIAS;76000-76500 m;;0
DUQUE DE CAXIAS;76500-77000 m;;0
DUQUE DE CAXIAS;77000-77500 m;;0
DUQUE DE CAXIAS;77500-78000 m;;0
DUQUE DE CAXIAS;78000-78500 m;;0
DUQUE DE CAXIAS;78500-79000 m;;0
DUQUE DE CAXIAS;79000-79500 m;;0
DUQUE DE CAXIAS;79500-80000 m;;0
DUQUE DE CAXIAS;80000-80500 m;;0
DUQUE DE CAXIAS;80500-81000 m;;0
DUQUE DE CAXIAS;81000-81500 m;;0
DUQUE DE CAXIAS;81500-82000 m;;0
DUQUE DE CAXIAS;82000-82500 m;;0
DUQUE DE CAXIAS;82500-83000 m;;0
DUQUE DE CAXIAS;83000-83500 m;;0
DUQUE DE CAXIAS;83500-84000 m;;0
DUQUE DE CAXIAS;84000-84500 m;;0
DUQUE DE CAXIAS;84500-85000 m;;0
DUQUE DE CAXIAS;85000-85500 m;;0
DUQUE DE CAXIAS;85500-86000 m;;0
DUQUE DE CAXIAS;86000-86500 m;;0
DUQUE DE CAXIAS;86500-87000 m;;0
DUQUE DE CAXIAS;87000-87500 m;;0
DUQUE DE CAXIAS;87500-88000 m;;0
DUQUE DE CAXIAS;88000-88500 m;;0
DUQUE DE CAXIAS;88500-89000 m;;0
DUQUE DE CAXIAS;89000-89500 m;;0
DUQUE DE CAXIAS;89500-90000 m;;0
DUQUE DE CAXIAS;90000-90500 m;;0
DUQUE DE CAXIAS;90500-91000 m;;0
DUQUE DE CAXIAS;91000-91500 m;;0
DUQUE DE CAXIAS;91500-92000 m;;0
DUQUE DE CAXIAS;92000-92500 m;;0
DUQUE DE CAXIAS;92500-93000 m;;0
DUQUE DE CAXIAS;93000-93500 m;;0
DUQUE DE CAXIAS;93500-94000 m;;0
DUQUE DE CAXIAS;94000-94500 m;;0
DUQUE DE CAXIAS;94500-95000 m;;0
DUQUE DE CAXIAS;95000-95500 m;;0
DUQUE DE CAXIAS;95500-96000 m;;0
DUQUE DE CAXIAS;96000-96500 m;;0
DUQUE DE CAXIAS;96500-97000 m;;0
DUQUE DE CAXIAS;97000-97500 m;;0
DUQUE DE CAXIAS;97500-98000 m;;0
DUQUE DE CAXIAS;98000-98500 m;;0
DUQUE DE CAXIAS;98500-99000 m;;0
DUQUE DE CAXIAS;99000-99500 m;;0
DUQUE DE CAXIAS;99500-100000 m;;0
DUQUE DE CAXIAS;100000-100500 m;;0
DUQUE DE CAXIAS;100500-101000 m;;0
DUQUE DE CAXIAS;101000-101500 m;;0
DUQUE DE CAXIAS;101500-102000 m;;0
DUQUE DE CAXIAS;102000-102500 m;;0
DUQUE DE CAXIAS;102500-103000 m;;0
DUQUE DE CAXIAS;103000-103500 m;;0
DUQUE DE CAXIAS;103500-104000 m;;0
DUQUE DE CAXIAS;104000-104500 m;;0
DUQUE DE CAXIAS;104500-105000 m;;0
DUQUE DE CAXIAS;105000-105500 m;;0
DUQUE DE CAXIAS;105500-106000 m;;0
DUQUE DE CAXIAS;106000-106500 m;;0
DUQUE DE CAXIAS;106500-107000 m;;0
DUQUE DE CAXIAS;107000-107500 m;;0
DUQUE DE CAXIAS;107500-108000 m;;0
DUQUE DE CAXIAS;108000-108500 m;;0
DUQUE DE CAXIAS;108500-109000 m;;0
DUQUE DE CAXIAS;109000-109500 m;;0
DUQUE DE CAXIAS;109500-110000 m;;0
DUQUE DE CAXIAS;110000-110500 m;;0
DUQUE DE CAXIAS;110500-111000 m;;0
