Polo;Faixa_Distancia;K_Sugerido;Qtd_Amostras
ANGRA;91000-91500 m;;0
ANGRA;91500-92000 m;;0
ANGRA;92000-92500 m;;0
ANGRA;92500-93000 m;;0
ANGRA;93000-93500 m;;0
ANGRA;93500-94000 m;;0
ANGRA;94000-94500 m;;0
ANGRA;94500-95000 m;;0
ANGRA;95000-95500 m;;0
ANGRA;95500-96000 m;;0
ANGRA;96000-96500 m;;0
ANGRA;96500-97000 m;;0
ANGRA;97000-97500 m;;0
ANGRA;97500-98000 m;;0
ANGRA;98000-98500 m;;0
ANGRA;98500-99000 m;;0
ANGRA;99000-99500 m;;0
ANGRA;99500-100000 m;;0
ANGRA;100000-100500 m;;0
ANGRA;100500-101000 m;;0
ANGRA;101000-101500 m;;0
ANGRA;101500-102000 m;;0
ANGRA;102000-102500 m;;0
ANGRA;102500-103000 m;;0
ANGRA;103000-103500 m;;0
ANGRA;103500-104000 m;;0
ANGRA;104000-104500 m;;0
ANGRA;104500-105000 m;;0
ANGRA;105000-105500 m;;0
ANGRA;105500-106000 m;;0
ANGRA;106000-106500 m;;0
ANGRA;106500-107000 m;;0
ANGRA;107000-107500 m;;0
ANGRA;107500-108000 m;;0
ANGRA;108000-108500 m;;0
ANGRA;108500-109000 m;;0
ANGRA;109000-109500 m;;0
ANGRA;109500-110000 m;;0
ANGRA;110000-110500 m;;0
ANGRA;110500-111000 m;;0
ANGRA;111000-111500 m;;0
ANGRA;111500-112000 m;;0
ANGRA;112000-112500 m;;0
ANGRA;112500-113000 m;;0
ANGRA;113000-113500 m;;0
ANGRA;113500-114000 m;;0
ANGRA;114000-114500 m;;0
ANGRA;114500-115000 m;;0
ANGRA;115000-115500 m;;0
ANGRA;115500-116000 m;;0
ANGRA;116000-116500 m;;0
ANGRA;116500-117000 m;;0
ANGRA;117000-117500 m;;0
ANGRA;117500-118000 m;;0
ANGRA;118000-118500 m;;0
ANGRA;118500-119000 m;;0
ANGRA;119000-119500 m;;0
ANGRA;119500-120000 m;;0
ANGRA;120000-120500 m;;0
ANGRA;120500-121000 m;;0
ANGRA;121000-121500 m;;0
ANGRA;121500-122000 m;;0
ANGRA;122000-122500 m;;0
ANGRA;122500-123000 m;;0
ANGRA;123000-123500 m;;0
ANGRA;123500-124000 m;;0
ANGRA;124000-124500 m;;0
ANGRA;124500-125000 m;;0
ANGRA;125000-125500 m;;0
ANGRA;125500-126000 m;;0
ANGRA;126000-126500 m;;0
ANGRA;126500-127000 m;;0
ANGRA;127000-127500 m;;0
ANGRA;127500-128000 m;;0
ANGRA;128000-128500 m;;0
ANGRA;128500-129000 m;;0
ANGRA;129000-129500 m;;0
ANGRA;129500-130000 m;;0
ANGRA;130000-130500 m;;0
ANGRA;130500-131000 m;;0
ANGRA;131000-131500 m;;0
ANGRA;131500-132000 m;;0
ANGRA;132000-132500 m;;0
ANGRA;132500-133000 m;;0
ANGRA;133000-133500 m;;0
ANGRA;133500-134000 m;;0
ANGRA;134000-134500 m;;0
ANGRA;134500-135000 m;;0
ANGRA;135000-135500 m;;0
ANGRA;135500-136000 m;;0
ANGRA;136000-136500 m;;0
ANGRA;136500-137000 m;;0
ANGRA;137000-137500 m;;0
ANGRA;137500-138000 m;;0
ANGRA;138000-138500 m;;0
ANGRA;138500-139000 m;;0
ANGRA;139000-139500 m;;0
ANGRA;139500-140000 m;;0
ANGRA;140000-140500 m;;0
ANGRA;140500-141000 m;;0
ANGRA;141000-141500 m;;0
ANGRA;141500-142000 m;;0
ANGRA;142000-142500 m;;0
ANGRA;142500-143000 m;;0
ANGRA;143000-143500 m;;0
ANGRA;143500-144000 m;;0
ANGRA;144000-144500 m;;0
ANGRA;144500-145000 m;;0
ANGRA;145000-145500 m;;0
ANGRA;145500-146000 m;;0
ANGRA;146000-146500 m;;0
ANGRA;146500-147000 m;;0
ANGRA;147000-147500 m;;0
ANGRA;147500-148000 m;;0
ANGRA;148000-148500 m;;0
ANGRA;148500-149000 m;;0
ANGRA;149000-149500 m;;0
ANGRA;149500-150000 m;;0
ANGRA;150000-150500 m;;0
ANGRA;150500-151000 m;;0
ANGRA;151000-151500 m;;0
ANGRA;151500-152000 m;;0
ANGRA;152000-152500 m;;0
ANGRA;152500-153000 m;;0
ANGRA;153000-153500 m;;0
ANGRA;153500-154000 m;;0
ANGRA;154000-154500 m;;0
ANGRA;154500-155000 m;;0
ANGRA;155000-155500 m;;0
ANGRA;155500-156000 m;;0
ANGRA;156000-156500 m;;0
ANGRA;156500-157000 m;;0
ANGRA;157000-157500 m;;0
ANGRA;157500-158000 m;;0
ANGRA;158000-158500 m;;0
ANGRA;158500-159000 m;;0
ANGRA;159000-159500 m;;0
ANGRA;159500-160000 m;;0
ANGRA;160000-160500 m;;0
ANGRA;160500-161000 m;;0
ANGRA;161000-161500 m;;0
ANGRA;161500-162000 m;;0
ANGRA;162000-162500 m;;0
ANGRA;162500-163000 m;;0
ANGRA;163000-163500 m;;0
ANGRA;163500-164000 m;;0
ANGRA;164000-164500 m;;0
ANGRA;164500-165000 m;;0
ANGRA;165000-165500 m;;0
ANGRA;165500-166000 m;;0
ANGRA;166000-166500 m;;0
ANGRA;166500-167000 m;;0
ANGRA;167000-167500 m;;0
ANGRA;167500-168000 m;;0
ANGRA;168000-168500 m;;0
ANGRA;168500-169000 m;;0
ANGRA;169000-169500 m;;0
ANGRA;169500-170000 m;;0
ANGRA;170000-170500 m;;0
ANGRA;170500-171000 m;;0
ANGRA;171000-171500 m;;0
ANGRA;171500-172000 m;;0
ANGRA;172000-172500 m;;0
ANGRA;172500-173000 m;;0
ANGRA;173000-173500 m;;0
ANGRA;173500-174000 m;;0
ANGRA;174000-174500 m;;0
ANGRA;174500-175000 m;;0
ANGRA;175000-175500 m;;0
ANGRA;175500-176000 m;;0
ANGRA;176000-176500 m;;0
ANGRA;176500-177000 m;;0
ANGRA;177000-177500 m;;0
ANGRA;177500-178000 m;;0
ANGRA;178000-178500 m;;0
ANGRA;178500-179000 m;;0
ANGRA;179000-179500 m;;0
ANGRA;179500-180000 m;;0
ANGRA;180000-180500 m;;0
ANGRA;180500-181000 m;;0
ANGRA;181000-181500 m;;0
ANGRA;181500-182000 m;;0
ANGRA;182000-182500 m;;0
ANGRA;182500-183000 m;;0
ANGRA;183000-183500 m;;0
ANGRA;183500-184000 m;;0
ANGRA;184000-184500 m;;0
ANGRA;184500-185000 m;;0
ANGRA;185000-185500 m;;0
ANGRA;185500-186000 m;;0
ANGRA;186000-186500 m;;0
ANGRA;186500-187000 m;;0
ANGRA;187000-187500 m;;0
ANGRA;187500-188000 m;;0
ANGRA;188000-188500 m;;0
ANGRA;188500-189000 m;;0
ANGRA;189000-189500 m;;0
ANGRA;189500-190000 m;;0
ANGRA;190000-190500 m;;0
ANGRA;190500-191000 m;;0
ANGRA;191000-191500 m;;0
ANGRA;191500-192000 m;;0
ANGRA;192000-192500 m;;0
ANGRA;192500-193000 m;;0
ANGRA;193000-193500 m;;0
ANGRA;193500-194000 m;;0
ANGRA;194000-194500 m;;0
ANGRA;194500-195000 m;;0
ANGRA;195000-195500 m;;0
ANGRA;195500-196000 m;;0
ANGRA;196000-196500 m;;0
ANGRA;196500-197000 m;;0
ANGRA;197000-197500 m;;0
ANGRA;197500-198000 m;;0
ANGRA;198000-198500 m;;0
ANGRA;198500-199000 m;;0
ANGRA;199000-199500 m;;0
ANGRA;199500-200000 m;;0
ANGRA;200000-200500 m;;0
ANGRA;200500-201000 m;;0
ANGRA;201000-201500 m;;0
ANGRA;201500-202000 m;;0
ANGRA;202000-202500 m;;0
ANGRA;202500-203000 m;;0
ANGRA;203000-203500 m;;0
ANGRA;203500-204000 m;;0
ANGRA;204000-204500 m;;0
ANGRA;204500-205000 m;;0
ANGRA;205000-205500 m;;0
ANGRA;205500-206000 m;;0
ANGRA;206000-206500 m;;0
ANGRA;206500-207000 m;;0
ANGRA;207000-207500 m;;0
ANGRA;207500-208000 m;;0
ANGRA;208000-208500 m;;0
ANGRA;208500-209000 m;;0
ANGRA;209000-209500 m;;0
ANGRA;209500-210000 m;;0
ANGRA;210000-210500 m;;0
ANGRA;210500-211000 m;;0
ANGRA;211000-211500 m;;0
ANGRA;211500-212000 m;;0
ANGRA;212000-212500 m;;0
ANGRA;212500-213000 m;;0
ANGRA;213000-213500 m;;0
ANGRA;213500-214000 m;;0
ANGRA;214000-214500 m;;0
ANGRA;214500-215000 m;;0
ANGRA;215000-215500 m;;0
ANGRA;215500-216000 m;;0
ANGRA;216000-216500 m;;0
ANGRA;216500-217000 m;;0
ANGRA;217000-217500 m;;0
ANGRA;217500-218000 m;;0
ANGRA;218000-218500 m;;0
ANGRA;218500-219000 m;;0
ANGRA;219000-219500 m;;0
ANGRA;219500-220000 m;;0
ANGRA;220000-220500 m;;0
ANGRA;220500-221000 m;;0
ANGRA;221000-221500 m;;0
ANGRA;221500-222000 m;;0
ANGRA;222000-222500 m;;0
ANGRA;222500-223000 m;;0
ANGRA;223000-223500 m;;0
ANGRA;223500-224000 m;;0
ANGRA;224000-224500 m;;0
ANGRA;224500-225000 m;;0
ANGRA;225000-225500 m;;0
ANGRA;225500-226000 m;;0
ANGRA;226000-226500 m;;0
ANGRA;226500-227000 m;;0
ANGRA;227000-227500 m;;0
ANGRA;227500-228000 m;;0
ANGRA;228000-228500 m;;0
ANGRA;228500-229000 m;;0
ANGRA;229000-229500 m;;0
ANGRA;229500-230000 m;;0
ANGRA;230000-230500 m;;0
ANGRA;230500-231000 m;;0
ANGRA;231000-231500 m;;0
ANGRA;231500-232000 m;;0
ANGRA;232000-232500 m;;0
ANGRA;232500-233000 m;;0
ANGRA;233000-233500 m;;0
ANGRA;233500-234000 m;;0
ANGRA;234000-234500 m;;0
ANGRA;234500-235000 m;;0
ANGRA;235000-235500 m;;0
ANGRA;235500-236000 m;;0
ANGRA;236000-236500 m;;0
ANGRA;236500-237000 m;;0
ARARUAMA;0-500 m;108.59;1685
ARARUAMA;500-1000 m;1.27;112
ARARUAMA;1000-1500 m;1.39;46
ARARUAMA;1500-2000 m;0.68;17
ARARUAMA;2000-2500 m;0.64;18
ARARUAMA;2500-3000 m;0.85;8
ARARUAMA;3000-3500 m;1.49;24
ARARUAMA;3500-4000 m;1.32;29
ARARUAMA;4000-4500 m;1.15;23
ARARUAMA;4500-5000 m;1.48;19
ARARUAMA;5000-5500 m;1.27;6
ARARUAMA;5500-6000 m;1.18;15
ARARUAMA;6000-6500 m;1.52;20
ARARUAMA;6500-7000 m;1.23;9
ARARUAMA;7000-7500 m;1.63;6
ARARUAMA;7500-8000 m;1.44;6
ARARUAMA;8000-8500 m;1.52;6
ARARUAMA;8500-9000 m;1.5;5
ARARUAMA;9000-9500 m;1.62;2
ARARUAMA;9500-10000 m;1.61;11
ARARUAMA;10000-10500 m;1.57;5
ARARUAMA;10500-11000 m;1.57;11
ARARUAMA;11000-11500 m;1.46;2
ARARUAMA;11500-12000 m;1.43;2
ARARUAMA;12000-12500 m;;0
ARARUAMA;12500-13000 m;;0
ARARUAMA;13000-13500 m;0.95;1
ARARUAMA;13500-14000 m;;0
ARARUAMA;14000-14500 m;;0
ARARUAMA;14500-15000 m;;0
ARARUAMA;15000-15500 m;;0
ARARUAMA;15500-16000 m;;0
ARARUAMA;16000-16500 m;;0
ARARUAMA;16500-17000 m;;0
ARARUAMA;17000-17500 m;;0
ARARUAMA;17500-18000 m;;0
ARARUAMA;18000-18500 m;;0
ARARUAMA;18500-19000 m;;0
ARARUAMA;19000-19500 m;;0
ARARUAMA;19500-20000 m;;0
ARARUAMA;20000-20500 m;;0
ARARUAMA;20500-21000 m;;0
ARARUAMA;21000-21500 m;;0
ARARUAMA;21500-22000 m;;0
ARARUAMA;22000-22500 m;;0
ARARUAMA;22500-23000 m;;0
ARARUAMA;23000-23500 m;;0
ARARUAMA;23500-24000 m;;0
ARARUAMA;24000-24500 m;;0
ARARUAMA;24500-25000 m;;0
ARARUAMA;25000-25500 m;;0
ARARUAMA;25500-26000 m;;0
ARARUAMA;26000-26500 m;;0
ARARUAMA;26500-27000 m;;0
ARARUAMA;27000-27500 m;;0
ARARUAMA;27500-28000 m;;0
ARARUAMA;28000-28500 m;;0
ARARUAMA;28500-29000 m;;0
ARARUAMA;29000-29500 m;;0
ARARUAMA;29500-30000 m;;0
ARARUAMA;30000-30500 m;;0
ARARUAMA;30500-31000 m;;0
ARARUAMA;31000-31500 m;;0
ARARUAMA;31500-32000 m;;0
ARARUAMA;32000-32500 m;;0
ARARUAMA;32500-33000 m;;0
ARARUAMA;33000-33500 m;;0
ARARUAMA;33500-34000 m;;0
ARARUAMA;34000-34500 m;;0
ARARUAMA;34500-35000 m;;0
ARARUAMA;35000-35500 m;;0
ARARUAMA;35500-36000 m;;0
ARARUAMA;36000-36500 m;;0
ARARUAMA;36500-37000 m;;0
ARARUAMA;37000-37500 m;;0
ARARUAMA;37500-38000 m;;0
ARARUAMA;38000-38500 m;;0
ARARUAMA;38500-39000 m;;0
ARARUAMA;39000-39500 m;;0
ARARUAMA;39500-40000 m;;0
ARARUAMA;40000-40500 m;;0
ARARUAMA;40500-41000 m;;0
ARARUAMA;41000-41500 m;;0
ARARUAMA;41500-42000 m;;0
ARARUAMA;42000-42500 m;;0
ARARUAMA;42500-43000 m;;0
ARARUAMA;43000-43500 m;;0
ARARUAMA;43500-44000 m;;0
ARARUAMA;44000-44500 m;;0
ARARUAMA;44500-45000 m;;0
ARARUAMA;45000-45500 m;;0
ARARUAMA;45500-46000 m;;0
ARARUAMA;46000-46500 m;;0
ARARUAMA;46500-47000 m;;0
ARARUAMA;47000-47500 m;;0
ARARUAMA;47500-48000 m;;0
ARARUAMA;48000-48500 m;;0
ARARUAMA;48500-49000 m;;0
ARARUAMA;49000-49500 m;;0
ARARUAMA;49500-50000 m;;0
ARARUAMA;50000-50500 m;;0
ARARUAMA;50500-51000 m;;0
ARARUAMA;51000-51500 m;;0
ARARUAMA;51500-52000 m;;0
ARARUAMA;52000-52500 m;;0
ARARUAMA;52500-53000 m;;0
ARARUAMA;53000-53500 m;;0
ARARUAMA;53500-54000 m;;0
ARARUAMA;54000-54500 m;;0
ARARUAMA;54500-55000 m;;0
ARARUAMA;55000-55500 m;;0
ARARUAMA;55500-56000 m;;0
ARARUAMA;56000-56500 m;;0
ARARUAMA;56500-57000 m;;0
ARARUAMA;57000-57500 m;;0
ARARUAMA;57500-58000 m;;0
ARARUAMA;58000-58500 m;;0
ARARUAMA;58500-59000 m;;0
ARARUAMA;59000-59500 m;;0
ARARUAMA;59500-60000 m;;0
ARARUAMA;60000-60500 m;;0
ARARUAMA;60500-61000 m;;0
ARARUAMA;61000-61500 m;;0
ARARUAMA;61500-62000 m;;0
ARARUAMA;62000-62500 m;;0
ARARUAMA;62500-63000 m;;0
ARARUAMA;63000-63500 m;;0
ARARUAMA;63500-64000 m;;0
ARARUAMA;64000-64500 m;;0
ARARUAMA;64500-65000 m;;0
ARARUAMA;65000-65500 m;;0
ARARUAMA;65500-66000 m;;0
ARARUAMA;66000-66500 m;;0
ARARUAMA;66500-67000 m;;0
ARARUAMA;67000-67500 m;;0
ARARUAMA;67500-68000 m;;0
ARARUAMA;68000-68500 m;;0
ARARUAMA;68500-69000 m;;0
ARARUAMA;69000-69500 m;;0
ARARUAMA;69500-70000 m;;0
ARARUAMA;70000-70500 m;;0
ARARUAMA;70500-71000 m;;0
ARARUAMA;71000-71500 m;;0
ARARUAMA;71500-72000 m;;0
ARARUAMA;72000-72500 m;;0
ARARUAMA;72500-73000 m;;0
ARARUAMA;73000-73500 m;;0
ARARUAMA;73500-74000 m;;0
ARARUAMA;74000-74500 m;;0
ARARUAMA;74500-75000 m;;0
ARARUAMA;75000-75500 m;;0
ARARUAMA;75500-76000 m;;0
ARARUAMA;76000-76500 m;;0
ARARUAMA;76500-77000 m;;0
ARARUAMA;77000-77500 m;;0
ARARUAMA;77500-78000 m;;0
ARARUAMA;78000-78500 m;;0
ARARUAMA;78500-79000 m;;0
ARARUAMA;79000-79500 m;;0
ARARUAMA;79500-80000 m;;0
ARARUAMA;80000-80500 m;;0
ARARUAMA;80500-81000 m;;0
ARARUAMA;81000-81500 m;;0
ARARUAMA;81500-82000 m;;0
ARARUAMA;82000-82500 m;;0
ARARUAMA;82500-83000 m;;0
ARARUAMA;83000-83500 m;;0
ARARUAMA;83500-84000 m;;0
ARARUAMA;84000-84500 m;;0
ARARUAMA;84500-85000 m;;0
ARARUAMA;85000-85500 m;;0
ARARUAMA;85500-86000 m;;0
ARARUAMA;86000-86500 m;;0
ARARUAMA;86500-87000 m;;0
ARARUAMA;87000-87500 m;;0
ARARUAMA;87500-88000 m;;0
ARARUAMA;88000-88500 m;;0
ARARUAMA;88500-89000 m;;0
ARARUAMA;89000-89500 m;;0
ARARUAMA;89500-90000 m;;0
ARARUAMA;90000-90500 m;;0
ARARUAMA;90500-91000 m;;0
ARARUAMA;91000-91500 m;;0
ARARUAMA;91500-92000 m;;0
ARARUAMA;92000-92500 m;;0
ARARUAMA;92500-93000 m;;0
ARARUAMA;93000-93500 m;;0
ARARUAMA;93500-94000 m;;0
ARARUAMA;94000-94500 m;;0
ARARUAMA;94500-95000 m;;0
ARARUAMA;95000-95500 m;;0
ARARUAMA;95500-96000 m;;0
ARARUAMA;96000-96500 m;;0
ARARUAMA;96500-97000 m;;0
ARARUAMA;97000-97500 m;;0
ARARUAMA;97500-98000 m;;0
ARARUAMA;98000-98500 m;;0
ARARUAMA;98500-99000 m;;0
ARARUAMA;99000-99500 m;;0
ARARUAMA;99500-100000 m;;0
ARARUAMA;100000-100500 m;;0
ARARUAMA;100500-101000 m;;0
ARARUAMA;101000-101500 m;;0
ARARUAMA;101500-102000 m;;0
ARARUAMA;102000-102500 m;;0
ARARUAMA;102500-103000 m;;0
ARARUAMA;103000-103500 m;;0
ARARUAMA;103500-104000 m;;0
ARARUAMA;104000-104500 m;;0
ARARUAMA;104500-105000 m;;0
ARARUAMA;105000-105500 m;;0
ARARUAMA;105500-106000 m;;0
ARARUAMA;106000-106500 m;;0
ARARUAMA;106500-107000 m;;0
ARARUAMA;107000-107500 m;;0
ARARUAMA;107500-108000 m;;0
ARARUAMA;108000-108500 m;;0
ARARUAMA;108500-109000 m;;0
ARARUAMA;109000-109500 m;;0
ARARUAMA;109500-110000 m;;0
ARARUAMA;110000-110500 m;;0
ARARUAMA;110500-111000 m;;0
ARARUAMA;111000-111500 m;;0
