Polo;Data;Distancia_Reta_m;Distancia_Real_m
SÃO GONÇALO;2025-07-23;107.07043816427418;12
SÃO GONÇALO;2025-07-23;40.81841222409588;105
SÃO GONÇALO;2025-07-23;37.94136480417486;32
SÃO GONÇALO;2025-07-23;8.416990006094906;77
SÃO GONÇALO;2025-07-23;7.847313058038581;733
SÃO GONÇALO;2025-07-23;185.0377277028604;153
SÃO GONÇALO;2025-07-23;1883.8441830278407;4051
SÃO GONÇALO;2025-07-23;1559.2261053520754;4143
SÃO GONÇALO;2025-07-23;821.5177036290046;134
SÃO GONÇALO;2025-07-23;80.77169065811626;643
SÃO GONÇALO;2025-07-23;458.114735756865;2204
SÃO GONÇALO;2025-07-23;440.0557676095257;696
SÃO GONÇALO;2025-07-23;1351.6904442470964;461
SÃO GONÇALO;2025-07-23;547.1127306244388;164
SÃO GONÇALO;2025-07-23;102.6026494126894;128
SÃO GONÇALO;2025-07-23;1209.7686808330902;278
SÃO GONÇALO;2025-07-23;130.37473586671655;388
SÃO GONÇALO;2025-07-23;105.39122076032254;425
SÃO GONÇALO;2025-07-23;70.21567066876187;760
SÃO GONÇALO;2025-07-23;206.18215383110848;134
SÃO GONÇALO;2025-07-23;143.07281252791614;1099
SÃO GONÇALO;2025-07-23;1984.6021246798668;1931
SÃO GONÇALO;2025-07-23;1336.8740151931054;2756
SÃO GONÇALO;2025-07-23;54.23724951148104;251
SÃO GONÇALO;2025-07-23;365.2616914113719;159
SÃO GONÇALO;2025-07-23;226.60203671760365;47
SÃO GONÇALO;2025-07-23;746.3070538231262;630
SÃO GONÇALO;2025-07-23;778.3649410735256;279
SÃO GONÇALO;2025-07-23;32.79146220545169;864
SÃO GONÇALO;2025-07-23;36.05000716957901;424
SÃO GONÇALO;2025-07-23;1177.6458138845524;1060
SÃO GONÇALO;2025-07-23;301.9387269505769;252
SÃO GONÇALO;2025-07-23;1230.455384933116;30
SÃO GONÇALO;2025-07-23;662.9118863724127;35
SÃO GONÇALO;2025-07-23;1360.1859817030386;1762
SÃO GONÇALO;2025-07-23;83.31259433453785;926
SÃO GONÇALO;2025-07-23;1355.377273303198;6876
SÃO GONÇALO;2025-07-23;1570.90420000763;2635
SÃO GONÇALO;2025-07-23;0.0;0
SÃO GONÇALO;2025-07-23;110.54189466468328;409
SÃO GONÇALO;2025-07-23;207.66808579274183;551
SÃO GONÇALO;2025-07-23;216.46844703197087;132
SÃO GONÇALO;2025-07-23;274.49261590793395;1053
SÃO GONÇALO;2025-07-23;128.3969640337621;2
SÃO GONÇALO;2025-07-23;696.2322821054631;100
SÃO GONÇALO;2025-07-23;294.6210621300598;442
SÃO GONÇALO;2025-07-23;73.86617029304647;344
SÃO GONÇALO;2025-07-23;27.854768790701783;211
SÃO GONÇALO;2025-07-23;3.877081805781392;143
SÃO GONÇALO;2025-07-23;165.8959303584584;495
SÃO GONÇALO;2025-07-23;145.02261010845697;264
SÃO GONÇALO;2025-07-23;1459.3279912854484;2212
SÃO GONÇALO;2025-07-23;1291.5870668144012;2931
SÃO GONÇALO;2025-07-23;193.17842797485423;1062
SÃO GONÇALO;2025-07-23;58.457664270169865;330
SÃO GONÇALO;2025-07-23;458.09845448573145;560
SÃO GONÇALO;2025-07-23;273.1727667122624;264
